sentence,tokens,tags
Mount Everest is the highest mountain in the world.  ,"['Mount', 'Everest', 'is', 'the', 'highest', 'mountain', 'in', 'the', 'world.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Kilimanjaro offers breathtaking views of Africa.,"['Kilimanjaro', 'offers', 'breathtaking', 'views', 'of', 'Africa.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
The sunrise view from Mount Kilimanjaro is breathtaking.  ,"['The', 'sunrise', 'view', 'from', 'Mount', 'Kilimanjaro', 'is', 'breathtaking.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
Mount Fuji is an iconic symbol of Japan.  ,"['Mount', 'Fuji', 'is', 'an', 'iconic', 'symbol', 'of', 'Japan.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Many climbers dream of scaling Denali in Alaska.  ,"['Many', 'climbers', 'dream', 'of', 'scaling', 'Denali', 'in', 'Alaska.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']"
"K2, also known as Mount Godwin-Austen, is one of the most challenging peaks.","['K2,', 'also', 'known', 'as', 'Mount', 'Godwin-Austen,', 'is', 'one', 'of', 'the', 'most', 'challenging', 'peaks.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Aoraki / Mount Cook is the tallest mountain in New Zealand.  ,"['Aoraki', '/', 'Mount', 'Cook', 'is', 'the', 'tallest', 'mountain', 'in', 'New', 'Zealand.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Elbrus is the highest peak in Europe.  ,"['Mount', 'Elbrus', 'is', 'the', 'highest', 'peak', 'in', 'Europe.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Climbing Vinson in Antarctica is a rare adventure.  ,"['Climbing', 'Vinson', 'in', 'Antarctica', 'is', 'a', 'rare', 'adventure.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Rainier towers over the skyline of Seattle.  ,"['Mount', 'Rainier', 'towers', 'over', 'the', 'skyline', 'of', 'Seattle.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mont Blanc is the highest mountain in the Alps.  ,"['Mont', 'Blanc', 'is', 'the', 'highest', 'mountain', 'in', 'the', 'Alps.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kosciuszko is Australia's tallest mountain.  ,"['Mount', 'Kosciuszko', 'is', ""Australia's"", 'tallest', 'mountain.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
Mount McKinley was renamed Denali in 2015.  ,"['Mount', 'McKinley', 'was', 'renamed', 'Denali', 'in', '2015.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']"
The Matterhorn is a famous mountain in the Swiss Alps.  ,"['The', 'Matterhorn', 'is', 'a', 'famous', 'mountain', 'in', 'the', 'Swiss', 'Alps.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Whitney is the tallest peak in the contiguous United States.  ,"['Mount', 'Whitney', 'is', 'the', 'tallest', 'peak', 'in', 'the', 'contiguous', 'United', 'States.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Shasta in California is a dormant volcano.  ,"['Mount', 'Shasta', 'in', 'California', 'is', 'a', 'dormant', 'volcano.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount St. Helens erupted dramatically in 1980.  ,"['Mount', 'St.', 'Helens', 'erupted', 'dramatically', 'in', '1980.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
Climbing Mount Aconcagua is a major goal for mountaineers.  ,"['Climbing', 'Mount', 'Aconcagua', 'is', 'a', 'major', 'goal', 'for', 'mountaineers.']","['O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Olympus is the legendary home of the Greek gods.  ,"['Mount', 'Olympus', 'is', 'the', 'legendary', 'home', 'of', 'the', 'Greek', 'gods.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Roraima is a stunning flat-topped mountain in South America.  ,"['Mount', 'Roraima', 'is', 'a', 'stunning', 'flat-topped', 'mountain', 'in', 'South', 'America.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Table Mountain in South Africa offers stunning views of Cape Town.  ,"['Table', 'Mountain', 'in', 'South', 'Africa', 'offers', 'stunning', 'views', 'of', 'Cape', 'Town.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kenya is the second-highest mountain in Africa.  ,"['Mount', 'Kenya', 'is', 'the', 'second-highest', 'mountain', 'in', 'Africa.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kosciuszko is popular among hikers in Australia.  ,"['Mount', 'Kosciuszko', 'is', 'popular', 'among', 'hikers', 'in', 'Australia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Ararat is traditionally believed to be the resting place of Noah's Ark.  ,"['Mount', 'Ararat', 'is', 'traditionally', 'believed', 'to', 'be', 'the', 'resting', 'place', 'of', ""Noah's"", 'Ark.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Inca Trail leads to the ancient city of Machu Picchu and passes through the Andes Mountains.  ,"['The', 'Inca', 'Trail', 'leads', 'to', 'the', 'ancient', 'city', 'of', 'Machu', 'Picchu', 'and', 'passes', 'through', 'the', 'Andes', 'Mountains.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Fitz Roy, in Patagonia, attracts climbers from around the world.","['Mount', 'Fitz', 'Roy,', 'in', 'Patagonia,', 'attracts', 'climbers', 'from', 'around', 'the', 'world.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Etna in Sicily is one of the most active volcanoes in Europe.  ,"['Mount', 'Etna', 'in', 'Sicily', 'is', 'one', 'of', 'the', 'most', 'active', 'volcanoes', 'in', 'Europe.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Parnassus is sacred in Greek mythology.  ,"['Mount', 'Parnassus', 'is', 'sacred', 'in', 'Greek', 'mythology.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
Mount Hood is a popular ski destination in Oregon.  ,"['Mount', 'Hood', 'is', 'a', 'popular', 'ski', 'destination', 'in', 'Oregon.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Mitchell is the highest point in the eastern United States.  ,"['Mount', 'Mitchell', 'is', 'the', 'highest', 'point', 'in', 'the', 'eastern', 'United', 'States.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Robson is the tallest peak in the Canadian Rockies.  ,"['Mount', 'Robson', 'is', 'the', 'tallest', 'peak', 'in', 'the', 'Canadian', 'Rockies.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Eiger's north face is one of the most notorious climbing routes.  ,"['Mount', ""Eiger's"", 'north', 'face', 'is', 'one', 'of', 'the', 'most', 'notorious', 'climbing', 'routes.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kinabalu in Borneo is a UNESCO World Heritage Site.  ,"['Mount', 'Kinabalu', 'in', 'Borneo', 'is', 'a', 'UNESCO', 'World', 'Heritage', 'Site.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Andes Mountains contain many of the highest peaks in the Western Hemisphere.  ,"['The', 'Andes', 'Mountains', 'contain', 'many', 'of', 'the', 'highest', 'peaks', 'in', 'the', 'Western', 'Hemisphere.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Baker in Washington is one of the snowiest places on Earth.  ,"['Mount', 'Baker', 'in', 'Washington', 'is', 'one', 'of', 'the', 'snowiest', 'places', 'on', 'Earth.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Sinai is famous for its biblical significance.  ,"['Mount', 'Sinai', 'is', 'famous', 'for', 'its', 'biblical', 'significance.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Tambora erupted in 1815, leading to the Year Without a Summer.","['Mount', 'Tambora', 'erupted', 'in', '1815,', 'leading', 'to', 'the', 'Year', 'Without', 'a', 'Summer.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kilauea in Hawaii has been erupting for decades.  ,"['Mount', 'Kilauea', 'in', 'Hawaii', 'has', 'been', 'erupting', 'for', 'decades.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Annapurna Massif is known for its challenging trekking routes.  ,"['The', 'Annapurna', 'Massif', 'is', 'known', 'for', 'its', 'challenging', 'trekking', 'routes.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Agung in Bali is a sacred volcano.  ,"['Mount', 'Agung', 'in', 'Bali', 'is', 'a', 'sacred', 'volcano.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Ngauruhoe in New Zealand was used as a filming location for Mount Doom in *The Lord of the Rings*.  ,"['Mount', 'Ngauruhoe', 'in', 'New', 'Zealand', 'was', 'used', 'as', 'a', 'filming', 'location', 'for', 'Mount', 'Doom', 'in', '*The', 'Lord', 'of', 'the', 'Rings*.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Meru in Tanzania is often climbed before Mount Kilimanjaro.  ,"['Mount', 'Meru', 'in', 'Tanzania', 'is', 'often', 'climbed', 'before', 'Mount', 'Kilimanjaro.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN']"
Mount Koshtan-Tau is one of the highest peaks in the Caucasus Mountains.  ,"['Mount', 'Koshtan-Tau', 'is', 'one', 'of', 'the', 'highest', 'peaks', 'in', 'the', 'Caucasus', 'Mountains.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Dolomites are a spectacular mountain range in northeastern Italy.  ,"['The', 'Dolomites', 'are', 'a', 'spectacular', 'mountain', 'range', 'in', 'northeastern', 'Italy.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Erebus in Antarctica is one of the southernmost active volcanoes.  ,"['Mount', 'Erebus', 'in', 'Antarctica', 'is', 'one', 'of', 'the', 'southernmost', 'active', 'volcanoes.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Ruapehu is a stratovolcano in New Zealand’s North Island.  ,"['Mount', 'Ruapehu', 'is', 'a', 'stratovolcano', 'in', 'New', 'Zealand’s', 'North', 'Island.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Sabyinyo, in the Virunga Mountains, marks the border of three countries: Rwanda, Uganda, and the Democratic Republic of Congo.","['Mount', 'Sabyinyo,', 'in', 'the', 'Virunga', 'Mountains,', 'marks', 'the', 'border', 'of', 'three', 'countries:', 'Rwanda,', 'Uganda,', 'and', 'the', 'Democratic', 'Republic', 'of', 'Congo.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Olympus in Cyprus offers stunning views of the Mediterranean.  ,"['Mount', 'Olympus', 'in', 'Cyprus', 'offers', 'stunning', 'views', 'of', 'the', 'Mediterranean.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Caucasus Mountains stretch between the Black Sea and the Caspian Sea.  ,"['The', 'Caucasus', 'Mountains', 'stretch', 'between', 'the', 'Black', 'Sea', 'and', 'the', 'Caspian', 'Sea.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Athos in Greece is a monastic state and a UNESCO World Heritage Site.  ,"['Mount', 'Athos', 'in', 'Greece', 'is', 'a', 'monastic', 'state', 'and', 'a', 'UNESCO', 'World', 'Heritage', 'Site.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Toubkal is the highest peak in North Africa.  ,"['Mount', 'Toubkal', 'is', 'the', 'highest', 'peak', 'in', 'North', 'Africa.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Vesuvius famously destroyed Pompeii and Herculaneum in AD 79.  ,"['Mount', 'Vesuvius', 'famously', 'destroyed', 'Pompeii', 'and', 'Herculaneum', 'in', 'AD', '79.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Cardigan in New Hampshire is popular among hikers.  ,"['Mount', 'Cardigan', 'in', 'New', 'Hampshire', 'is', 'popular', 'among', 'hikers.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Graham is sacred to the Apache people in Arizona.  ,"['Mount', 'Graham', 'is', 'sacred', 'to', 'the', 'Apache', 'people', 'in', 'Arizona.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Damavand is the highest peak in Iran and the Middle East.  ,"['Mount', 'Damavand', 'is', 'the', 'highest', 'peak', 'in', 'Iran', 'and', 'the', 'Middle', 'East.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Atlas Mountains span across North Africa.  ,"['The', 'Atlas', 'Mountains', 'span', 'across', 'North', 'Africa.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Chimborazo in Ecuador is the closest point on Earth to the sun.  ,"['Mount', 'Chimborazo', 'in', 'Ecuador', 'is', 'the', 'closest', 'point', 'on', 'Earth', 'to', 'the', 'sun.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Elgon sits on the border of Uganda and Kenya.  ,"['Mount', 'Elgon', 'sits', 'on', 'the', 'border', 'of', 'Uganda', 'and', 'Kenya.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Assiniboine is often referred to as the ""Matterhorn of the Rockies.""  ","['Mount', 'Assiniboine', 'is', 'often', 'referred', 'to', 'as', 'the', '""Matterhorn', 'of', 'the', 'Rockies.""']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']"
Mount Kazbek is one of the highest peaks in Georgia.  ,"['Mount', 'Kazbek', 'is', 'one', 'of', 'the', 'highest', 'peaks', 'in', 'Georgia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Rundle in Banff National Park is a stunning sight.  ,"['Mount', 'Rundle', 'in', 'Banff', 'National', 'Park', 'is', 'a', 'stunning', 'sight.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Liankang Kangri lies in a remote area of the Himalayas.  ,"['Mount', 'Liankang', 'Kangri', 'lies', 'in', 'a', 'remote', 'area', 'of', 'the', 'Himalayas.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Carpathian Mountains form a natural border between Poland and Slovakia.  ,"['The', 'Carpathian', 'Mountains', 'form', 'a', 'natural', 'border', 'between', 'Poland', 'and', 'Slovakia.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Gede in Indonesia is part of a volcanic complex.  ,"['Mount', 'Gede', 'in', 'Indonesia', 'is', 'part', 'of', 'a', 'volcanic', 'complex.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Tsukuba is a sacred mountain in Japan.  ,"['Mount', 'Tsukuba', 'is', 'a', 'sacred', 'mountain', 'in', 'Japan.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Diablo offers panoramic views of the San Francisco Bay Area.  ,"['Mount', 'Diablo', 'offers', 'panoramic', 'views', 'of', 'the', 'San', 'Francisco', 'Bay', 'Area.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Cook in New Zealand is a favorite destination for climbers.  ,"['Mount', 'Cook', 'in', 'New', 'Zealand', 'is', 'a', 'favorite', 'destination', 'for', 'climbers.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Merapi in Indonesia is one of the most active volcanoes in the world.  ,"['Mount', 'Merapi', 'in', 'Indonesia', 'is', 'one', 'of', 'the', 'most', 'active', 'volcanoes', 'in', 'the', 'world.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Seoraksan is a popular hiking destination in South Korea.  ,"['Mount', 'Seoraksan', 'is', 'a', 'popular', 'hiking', 'destination', 'in', 'South', 'Korea.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Lhotse is the fourth-highest mountain in the world.  ,"['Mount', 'Lhotse', 'is', 'the', 'fourth-highest', 'mountain', 'in', 'the', 'world.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Damavand is a dormant volcano in Iran.  ,"['Mount', 'Damavand', 'is', 'a', 'dormant', 'volcano', 'in', 'Iran.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount St. Elias straddles the border between the United States and Canada.  ,"['Mount', 'St.', 'Elias', 'straddles', 'the', 'border', 'between', 'the', 'United', 'States', 'and', 'Canada.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kosciusko was named after the Polish-Lithuanian hero Tadeusz Kościuszko.  ,"['Mount', 'Kosciusko', 'was', 'named', 'after', 'the', 'Polish-Lithuanian', 'hero', 'Tadeusz', 'Kościuszko.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Huascarán in Peru is the highest peak in the tropics.  ,"['Mount', 'Huascarán', 'in', 'Peru', 'is', 'the', 'highest', 'peak', 'in', 'the', 'tropics.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Cook is often climbed by those seeking to practice for more technical ascents.  ,"['Mount', 'Cook', 'is', 'often', 'climbed', 'by', 'those', 'seeking', 'to', 'practice', 'for', 'more', 'technical', 'ascents.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Karakoram Range includes K2 and numerous other high peaks.  ,"['The', 'Karakoram', 'Range', 'includes', 'K2', 'and', 'numerous', 'other', 'high', 'peaks.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
Mount Townsend is the second-highest peak in Australia.  ,"['Mount', 'Townsend', 'is', 'the', 'second-highest', 'peak', 'in', 'Australia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Victoria in Myanmar is a stunning trekking destination.  ,"['Mount', 'Victoria', 'in', 'Myanmar', 'is', 'a', 'stunning', 'trekking', 'destination.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Wilhelm is the highest peak in Papua New Guinea.  ,"['Mount', 'Wilhelm', 'is', 'the', 'highest', 'peak', 'in', 'Papua', 'New', 'Guinea.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Sinai is where Moses is said to have received the Ten Commandments.  ,"['Mount', 'Sinai', 'is', 'where', 'Moses', 'is', 'said', 'to', 'have', 'received', 'the', 'Ten', 'Commandments.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Batur in Bali is a popular destination for sunrise treks.  ,"['Mount', 'Batur', 'in', 'Bali', 'is', 'a', 'popular', 'destination', 'for', 'sunrise', 'treks.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Great Dividing Range runs along the eastern coast of Australia.  ,"['The', 'Great', 'Dividing', 'Range', 'runs', 'along', 'the', 'eastern', 'coast', 'of', 'Australia.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Charleston is a year-round destination for hiking and skiing in Nevada.  ,"['Mount', 'Charleston', 'is', 'a', 'year-round', 'destination', 'for', 'hiking', 'and', 'skiing', 'in', 'Nevada.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Baker, in Washington, is a dormant volcano known for its glaciers.  ","['Mount', 'Baker,', 'in', 'Washington,', 'is', 'a', 'dormant', 'volcano', 'known', 'for', 'its', 'glaciers.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Maunganui is a popular coastal destination in New Zealand.  ,"['Mount', 'Maunganui', 'is', 'a', 'popular', 'coastal', 'destination', 'in', 'New', 'Zealand.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Tongariro in New Zealand is part of the Tongariro Alpine Crossing.  ,"['Mount', 'Tongariro', 'in', 'New', 'Zealand', 'is', 'part', 'of', 'the', 'Tongariro', 'Alpine', 'Crossing.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Thielsen in Oregon is known for its spire-like peak.  ,"['Mount', 'Thielsen', 'in', 'Oregon', 'is', 'known', 'for', 'its', 'spire-like', 'peak.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Kosciuszko is often visited in the summer by families looking to hike.  ,"['Mount', 'Kosciuszko', 'is', 'often', 'visited', 'in', 'the', 'summer', 'by', 'families', 'looking', 'to', 'hike.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Taranaki, in New Zealand, is famous for its perfect cone shape.  ","['Mount', 'Taranaki,', 'in', 'New', 'Zealand,', 'is', 'famous', 'for', 'its', 'perfect', 'cone', 'shape.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Teide in the Canary Islands is Spain's highest peak. ,"['Mount', 'Teide', 'in', 'the', 'Canary', 'Islands', 'is', ""Spain's"", 'highest', 'peak.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Bogong is the highest mountain in Victoria, Australia.  ","['Mount', 'Bogong', 'is', 'the', 'highest', 'mountain', 'in', 'Victoria,', 'Australia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Asgard in Canada has vertical cliff faces that attract experienced climbers.  ,"['Mount', 'Asgard', 'in', 'Canada', 'has', 'vertical', 'cliff', 'faces', 'that', 'attract', 'experienced', 'climbers.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Sierra Nevada range includes famous peaks like Mount Whitney and Mount Langley.  ,"['The', 'Sierra', 'Nevada', 'range', 'includes', 'famous', 'peaks', 'like', 'Mount', 'Whitney', 'and', 'Mount', 'Langley.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN']"
