sentence,tokens,tags
Mount Sneffels in Colorado is a favorite among mountaineers.  ,"['Mount', 'Sneffels', 'in', 'Colorado', 'is', 'a', 'favorite', 'among', 'mountaineers.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Olympus in Utah is a popular hike offering incredible city views.  ,"['Mount', 'Olympus', 'in', 'Utah', 'is', 'a', 'popular', 'hike', 'offering', 'incredible', 'city', 'views.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Katahdin in Maine marks the end of the Appalachian Trail.  ,"['Mount', 'Katahdin', 'in', 'Maine', 'marks', 'the', 'end', 'of', 'the', 'Appalachian', 'Trail.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Julian Alps are home to Mount Triglav, the highest peak in Slovenia.","['The', 'Julian', 'Alps', 'are', 'home', 'to', 'Mount', 'Triglav,', 'the', 'highest', 'peak', 'in', 'Slovenia.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
Here are the sentences in English about the mountains:,"['Here', 'are', 'the', 'sentences', 'in', 'English', 'about', 'the', 'mountains:']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pizzo Carbonara, with a height of 6493 feet, is located in the Province of Palermo, Sicily.  ","['Pizzo', 'Carbonara,', 'with', 'a', 'height', 'of', '6493', 'feet,', 'is', 'located', 'in', 'the', 'Province', 'of', 'Palermo,', 'Sicily.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Topo de Coroa, which stands at 6493 feet, is situated in Cape Verde.  ","['Topo', 'de', 'Coroa,', 'which', 'stands', 'at', '6493', 'feet,', 'is', 'situated', 'in', 'Cape', 'Verde.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Tongariro, with an elevation of 6490 feet, is found in New Zealand.  ","['Mount', 'Tongariro,', 'with', 'an', 'elevation', 'of', '6490', 'feet,', 'is', 'found', 'in', 'New', 'Zealand.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Iceberg Peak, rising to 6486 feet, is located on Vancouver Island, British Columbia, Canada.  ","['Iceberg', 'Peak,', 'rising', 'to', '6486', 'feet,', 'is', 'located', 'on', 'Vancouver', 'Island,', 'British', 'Columbia,', 'Canada.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pico Turquino, the highest point in Cuba, reaches a height of 6480 feet.  ","['Pico', 'Turquino,', 'the', 'highest', 'point', 'in', 'Cuba,', 'reaches', 'a', 'height', 'of', '6480', 'feet.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"El Piveto Mountain, with an elevation of 6460 feet, is also on Vancouver Island, British Columbia, Canada.  ","['El', 'Piveto', 'Mountain,', 'with', 'an', 'elevation', 'of', '6460', 'feet,', 'is', 'also', 'on', 'Vancouver', 'Island,', 'British', 'Columbia,', 'Canada.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Qiajivik Mountain, standing at 6440 feet, is located on Baffin Island, Nunavut, Canada.  ","['Qiajivik', 'Mountain,', 'standing', 'at', '6440', 'feet,', 'is', 'located', 'on', 'Baffin', 'Island,', 'Nunavut,', 'Canada.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Monte Tamaro, with a height of 6437 feet, is found in Ticino, Switzerland.  ","['Monte', 'Tamaro,', 'with', 'a', 'height', 'of', '6437', 'feet,', 'is', 'found', 'in', 'Ticino,', 'Switzerland.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Farcau Peak, which reaches 6417 feet, is located in Romania.  ","['Farcau', 'Peak,', 'which', 'reaches', '6417', 'feet,', 'is', 'located', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Montalto (Aspromonte), at 6414 feet, is situated in Calabria, Italy.  ","['Montalto', '(Aspromonte),', 'at', '6414', 'feet,', 'is', 'situated', 'in', 'Calabria,', 'Italy.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Ciucas Peak, standing at 6411 feet, is found in Romania.  ","['Ciucas', 'Peak,', 'standing', 'at', '6411', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Chionistra, which rises to 6404 feet, is located in Cyprus.  ","['Chionistra,', 'which', 'rises', 'to', '6404', 'feet,', 'is', 'located', 'in', 'Cyprus.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Hallasan, with an elevation of 6398 feet, is the highest mountain in South Korea, located on Jejudo.  ","['Hallasan,', 'with', 'an', 'elevation', 'of', '6398', 'feet,', 'is', 'the', 'highest', 'mountain', 'in', 'South', 'Korea,', 'located', 'on', 'Jejudo.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Jabal Bil Ays, with a height of 6345 feet, is situated in Oman.  ","['Jabal', 'Bil', 'Ays,', 'with', 'a', 'height', 'of', '6345', 'feet,', 'is', 'situated', 'in', 'Oman.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mullayanagiri, standing at 6332 feet, is located in Chikmagalur, Karnataka, India.  ","['Mullayanagiri,', 'standing', 'at', '6332', 'feet,', 'is', 'located', 'in', 'Chikmagalur,', 'Karnataka,', 'India.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Helvetia Tinde, with an elevation of 6329 feet, is the highest peak in Peary Land, Northern Greenland.  ","['Helvetia', 'Tinde,', 'with', 'an', 'elevation', 'of', '6329', 'feet,', 'is', 'the', 'highest', 'peak', 'in', 'Peary', 'Land,', 'Northern', 'Greenland.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN']"
"Botte Donato, which reaches 6325 feet, is located in the Sila Mountains, Calabria, Italy.  ","['Botte', 'Donato,', 'which', 'reaches', '6325', 'feet,', 'is', 'located', 'in', 'the', 'Sila', 'Mountains,', 'Calabria,', 'Italy.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Kirigamine, at 6316 feet, is found in Japan.  ","['Mount', 'Kirigamine,', 'at', '6316', 'feet,', 'is', 'found', 'in', 'Japan.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Washington, with a height of 6289 feet, is the highest in the American Northeast, located in the Presidential Range, White Mountains, US.  ","['Mount', 'Washington,', 'with', 'a', 'height', 'of', '6289', 'feet,', 'is', 'the', 'highest', 'in', 'the', 'American', 'Northeast,', 'located', 'in', 'the', 'Presidential', 'Range,', 'White', 'Mountains,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Siku, standing at 6283 feet, is located in Pahang, Malaysia.  ","['Mount', 'Siku,', 'standing', 'at', '6283', 'feet,', 'is', 'located', 'in', 'Pahang,', 'Malaysia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Jiri, also with a height of 6283 feet, is situated in South Korea.  ","['Mount', 'Jiri,', 'also', 'with', 'a', 'height', 'of', '6283', 'feet,', 'is', 'situated', 'in', 'South', 'Korea.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Troglav, which reaches 6276 feet, is the highest peak of the Dinara mountain range in Bosnia and Herzegovina.  ","['Troglav,', 'which', 'reaches', '6276', 'feet,', 'is', 'the', 'highest', 'peak', 'of', 'the', 'Dinara', 'mountain', 'range', 'in', 'Bosnia', 'and', 'Herzegovina.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mont Ventoux, standing at 6263 feet, is located in France.  ","['Mont', 'Ventoux,', 'standing', 'at', '6263', 'feet,', 'is', 'located', 'in', 'France.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Ocolasu Mare, with an elevation of 6257 feet, is found in Romania.  ","['Ocolasu', 'Mare,', 'with', 'an', 'elevation', 'of', '6257', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Toaca, reaching 6234 feet, is situated in Romania.  ","['Mount', 'Toaca,', 'reaching', '6234', 'feet,', 'is', 'situated', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Vesper Peak, at 6220 feet, is located in Washington, US.  ","['Vesper', 'Peak,', 'at', '6220', 'feet,', 'is', 'located', 'in', 'Washington,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Baba Budangiri, which rises to 6217 feet, is found in Chikmagalur, Karnataka, India.  ","['Baba', 'Budangiri,', 'which', 'rises', 'to', '6217', 'feet,', 'is', 'found', 'in', 'Chikmagalur,', 'Karnataka,', 'India.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Narodnaya, with a height of 6217 feet, is located in the Subpolar Urals, Russia.  ","['Mount', 'Narodnaya,', 'with', 'a', 'height', 'of', '6217', 'feet,', 'is', 'located', 'in', 'the', 'Subpolar', 'Urals,', 'Russia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Kudremukh, standing at 6214 feet, is also in Chikmagalur, Karnataka, India.  ","['Kudremukh,', 'standing', 'at', '6214', 'feet,', 'is', 'also', 'in', 'Chikmagalur,', 'Karnataka,', 'India.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Orjen, which reaches 6214 feet, is situated in Montenegro and Bosnia and Herzegovina.  ","['Orjen,', 'which', 'reaches', '6214', 'feet,', 'is', 'situated', 'in', 'Montenegro', 'and', 'Bosnia', 'and', 'Herzegovina.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Iskhodnaya, with a height of 6191 feet, is the highest of the Chukotka Mountains in Russia.  ","['Iskhodnaya,', 'with', 'a', 'height', 'of', '6191', 'feet,', 'is', 'the', 'highest', 'of', 'the', 'Chukotka', 'Mountains', 'in', 'Russia.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount George V, standing at 6178 feet, is located on Vancouver Island, British Columbia, Canada.  ","['Mount', 'George', 'V,', 'standing', 'at', '6178', 'feet,', 'is', 'located', 'on', 'Vancouver', 'Island,', 'British', 'Columbia,', 'Canada.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Rugged Mountain, at 6152 feet, is also found on Vancouver Island, British Columbia, Canada.  ","['Rugged', 'Mountain,', 'at', '6152', 'feet,', 'is', 'also', 'found', 'on', 'Vancouver', 'Island,', 'British', 'Columbia,', 'Canada.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Agastya Mala, which reaches 6129 feet, is situated in Tamil Nadu/Kerala, India.  ","['Agastya', 'Mala,', 'which', 'reaches', '6129', 'feet,', 'is', 'situated', 'in', 'Tamil', 'Nadu/Kerala,', 'India.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Trident Volcano, standing at 6115 feet, is located in Alaska, US.  ","['Trident', 'Volcano,', 'standing', 'at', '6115', 'feet,', 'is', 'located', 'in', 'Alaska,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Martin, with a height of 6112 feet, is also found in Alaska, US.  ","['Mount', 'Martin,', 'with', 'a', 'height', 'of', '6112', 'feet,', 'is', 'also', 'found', 'in', 'Alaska,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Knuckles, rising to 6109 feet, is located in Sri Lanka.  ","['Knuckles,', 'rising', 'to', '6109', 'feet,', 'is', 'located', 'in', 'Sri', 'Lanka.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pico Ruivo, with an elevation of 6106 feet, is found in Madeira, Portugal.  ","['Pico', 'Ruivo,', 'with', 'an', 'elevation', 'of', '6106', 'feet,', 'is', 'found', 'in', 'Madeira,', 'Portugal.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Budacu, standing at 6099 feet, is located in Romania.  ","['Budacu,', 'standing', 'at', '6099', 'feet,', 'is', 'located', 'in', 'Romania.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Giumalau, which reaches 6089 feet, is also found in Romania.  ","['Giumalau,', 'which', 'reaches', '6089', 'feet,', 'is', 'also', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pico das Torres, at 6079 feet, is situated in Madeira, Portugal.  ","['Pico', 'das', 'Torres,', 'at', '6079', 'feet,', 'is', 'situated', 'in', 'Madeira,', 'Portugal.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mont Ross, with a height of 6070 feet, is located in the Gallieni Massif, Kerguelen Islands.  ","['Mont', 'Ross,', 'with', 'a', 'height', 'of', '6070', 'feet,', 'is', 'located', 'in', 'the', 'Gallieni', 'Massif,', 'Kerguelen', 'Islands.']","['B-MOUNTAIN', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Cucurbata Mare, standing at 6066 feet, is found in Romania.  ","['Cucurbata', 'Mare,', 'standing', 'at', '6066', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Monte Soro, with a height of 6060 feet, is located in the Province of Messina, Sicily.  ","['Monte', 'Soro,', 'with', 'a', 'height', 'of', '6060', 'feet,', 'is', 'located', 'in', 'the', 'Province', 'of', 'Messina,', 'Sicily.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Ulap, at 6056 feet, is found in Itogon, Benguet, Philippines.  ","['Mount', 'Ulap,', 'at', '6056', 'feet,', 'is', 'found', 'in', 'Itogon,', 'Benguet,', 'Philippines.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Crown Mountain, which stands at 6056 feet, is located on Vancouver Island, British Columbia, Canada.  ","['Crown', 'Mountain,', 'which', 'stands', 'at', '6056', 'feet,', 'is', 'located', 'on', 'Vancouver', 'Island,', 'British', 'Columbia,', 'Canada.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Tibles, rising to 6033 feet, is found in Romania.  ","['Tibles,', 'rising', 'to', '6033', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Loser, with a height of 6030 feet, is located in Austria.  ","['Loser,', 'with', 'a', 'height', 'of', '6030', 'feet,', 'is', 'located', 'in', 'Austria.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Vladeasa, standing at 6024 feet, is found in Romania.  ","['Vladeasa,', 'standing', 'at', '6024', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Punta La Marmora, with a height of 6017 feet, is located in Sardinia.  ","['Punta', 'La', 'Marmora,', 'with', 'a', 'height', 'of', '6017', 'feet,', 'is', 'located', 'in', 'Sardinia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Sinjal, which reaches 6007 feet, is the highest peak of Dinara in Croatia.  ","['Sinjal,', 'which', 'reaches', '6007', 'feet,', 'is', 'the', 'highest', 'peak', 'of', 'Dinara', 'in', 'Croatia.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Cerro La Campana, at 5997 feet, is situated in Olmue, Chile.  ","['Cerro', 'La', 'Campana,', 'at', '5997', 'feet,', 'is', 'situated', 'in', 'Olmue,', 'Chile.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Gora Nevskaya, standing at 5997 feet, is the highest of the Kolyma Mountains in Magadan Oblast, Russia.  ","['Gora', 'Nevskaya,', 'standing', 'at', '5997', 'feet,', 'is', 'the', 'highest', 'of', 'the', 'Kolyma', 'Mountains', 'in', 'Magadan', 'Oblast,', 'Russia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Muntele Mare, with a height of 5991 feet, is found in Romania.  ","['Muntele', 'Mare,', 'with', 'a', 'height', 'of', '5991', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Cerro de la Silla, standing at 5971 feet, is located in Mexico.  ","['Cerro', 'de', 'la', 'Silla,', 'standing', 'at', '5971', 'feet,', 'is', 'located', 'in', 'Mexico.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pico do Arieiro, which reaches 5965 feet, is situated in Madeira, Portugal.  ","['Pico', 'do', 'Arieiro,', 'which', 'reaches', '5965', 'feet,', 'is', 'situated', 'in', 'Madeira,', 'Portugal.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Biligiriranga Hills, at 5906 feet, is located in Chamarajanagar, Karnataka, India.  ","['Biligiriranga', 'Hills,', 'at', '5906', 'feet,', 'is', 'located', 'in', 'Chamarajanagar,', 'Karnataka,', 'India.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Monte Maggiorasca, standing at 5902 feet, is found in Liguria-Emilia-Romagna, Italy.  ","['Monte', 'Maggiorasca,', 'standing', 'at', '5902', 'feet,', 'is', 'found', 'in', 'Liguria-Emilia-Romagna,', 'Italy.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Rigi, with a height of 5896 feet, is situated in the Swiss Alps.  ","['Rigi,', 'with', 'a', 'height', 'of', '5896', 'feet,', 'is', 'situated', 'in', 'the', 'Swiss', 'Alps.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Hășmașu Mare, standing at 5879 feet, is found in Romania.  ","['Hășmașu', 'Mare,', 'standing', 'at', '5879', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pietrosu Peak, which reaches 5876 feet, is located in Romania.  ","['Pietrosu', 'Peak,', 'which', 'reaches', '5876', 'feet,', 'is', 'located', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Goru, at 5853 feet, is situated in Romania.  ","['Goru,', 'at', '5853', 'feet,', 'is', 'situated', 'in', 'Romania.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Blokhin Peak, with a height of 5837 feet, is the highest in the Anyuy Range, Chukotka, Russian Federation.  ","['Blokhin', 'Peak,', 'with', 'a', 'height', 'of', '5837', 'feet,', 'is', 'the', 'highest', 'in', 'the', 'Anyuy', 'Range,', 'Chukotka,', 'Russian', 'Federation.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Velliangiri Mountains, standing at 5833 feet, is located in Coimbatore, Tamil Nadu, India.  ","['Velliangiri', 'Mountains,', 'standing', 'at', '5833', 'feet,', 'is', 'located', 'in', 'Coimbatore,', 'Tamil', 'Nadu,', 'India.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Lacaut, which reaches 5830 feet, is found in Romania.  ","['Lacaut,', 'which', 'reaches', '5830', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Saca Peak, standing at 5827 feet, is located in Romania.  ","['Saca', 'Peak,', 'standing', 'at', '5827', 'feet,', 'is', 'located', 'in', 'Romania.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Penteleu, with an elevation of 5814 feet, is found in Romania.  ","['Penteleu,', 'with', 'an', 'elevation', 'of', '5814', 'feet,', 'is', 'found', 'in', 'Romania.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Veve, rising to 5801 feet, is located on Kolombangara, Solomon Islands.  ","['Mount', 'Veve,', 'rising', 'to', '5801', 'feet,', 'is', 'located', 'on', 'Kolombangara,', 'Solomon', 'Islands.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Adams, with a height of 5794 feet, is situated in New Hampshire, US.  ","['Mount', 'Adams,', 'with', 'a', 'height', 'of', '5794', 'feet,', 'is', 'situated', 'in', 'New', 'Hampshire,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Monte Gariglione, which reaches 5787 feet, is found in the Sila Mountains, Calabria, Italy.  ","['Monte', 'Gariglione,', 'which', 'reaches', '5787', 'feet,', 'is', 'found', 'in', 'the', 'Sila', 'Mountains,', 'Calabria,', 'Italy.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Sveti Jure (Saint George), standing at 5781 feet, is located in the Biokovo Mountains, Croatia.  ","['Sveti', 'Jure', '(Saint', 'George),', 'standing', 'at', '5781', 'feet,', 'is', 'located', 'in', 'the', 'Biokovo', 'Mountains,', 'Croatia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pik Sovetskoy Gvardii, at 5771 feet, is situated in Chukotka, Russian Federation.  ","['Pik', 'Sovetskoy', 'Gvardii,', 'at', '5771', 'feet,', 'is', 'situated', 'in', 'Chukotka,', 'Russian', 'Federation.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
