sentence,tokens,tags
"Vaganski vrh, with a height of 5764 feet, is the highest peak in the Velebit Mountains, Croatia.  ","['Vaganski', 'vrh,', 'with', 'a', 'height', 'of', '5764', 'feet,', 'is', 'the', 'highest', 'peak', 'in', 'the', 'Velebit', 'Mountains,', 'Croatia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Api, standing at 5741 feet, is located in Gunung Mulu National Park, Sarawak, Malaysia.  ","['Mount', 'Api,', 'standing', 'at', '5741', 'feet,', 'is', 'located', 'in', 'Gunung', 'Mulu', 'National', 'Park,', 'Sarawak,', 'Malaysia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Lovćen, at 5738 feet, is found in Montenegro.  ","['Lovćen,', 'at', '5738', 'feet,', 'is', 'found', 'in', 'Montenegro.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Tadiandamol, which reaches 5735 feet, is located in Kodagu, Karnataka, India.  ","['Tadiandamol,', 'which', 'reaches', '5735', 'feet,', 'is', 'located', 'in', 'Kodagu,', 'Karnataka,', 'India.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Rogers, standing at 5728 feet, is the highest point in Virginia, US.  ","['Mount', 'Rogers,', 'standing', 'at', '5728', 'feet,', 'is', 'the', 'highest', 'point', 'in', 'Virginia,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Doi Phi Pan Nam, with a height of 5725 feet, is situated in the Luang Prabang Range, Thailand.  ","['Doi', 'Phi', 'Pan', 'Nam,', 'with', 'a', 'height', 'of', '5725', 'feet,', 'is', 'situated', 'in', 'the', 'Luang', 'Prabang', 'Range,', 'Thailand.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Wilson, standing at 5715 feet, is located in California, US.  ","['Mount', 'Wilson,', 'standing', 'at', '5715', 'feet,', 'is', 'located', 'in', 'California,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Jefferson, which reaches 5712 feet, is found in New Hampshire, US.  ","['Mount', 'Jefferson,', 'which', 'reaches', '5712', 'feet,', 'is', 'found', 'in', 'New', 'Hampshire,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Monte Amiata, at 5702 feet, is situated in the Province of Grosseto, Italy.  ","['Monte', 'Amiata,', 'at', '5702', 'feet,', 'is', 'situated', 'in', 'the', 'Province', 'of', 'Grosseto,', 'Italy.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Daisen, with a height of 5673 feet, is located in Japan.  ","['Daisen,', 'with', 'a', 'height', 'of', '5673', 'feet,', 'is', 'located', 'in', 'Japan.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Horn (Mount Buffalo), standing at 5653 feet, is found in Victoria, Australia.  ","['The', 'Horn', '(Mount', 'Buffalo),', 'standing', 'at', '5653', 'feet,', 'is', 'found', 'in', 'Victoria,', 'Australia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Batur, with a height of 5633 feet, is located in Bali, Indonesia.  ","['Mount', 'Batur,', 'with', 'a', 'height', 'of', '5633', 'feet,', 'is', 'located', 'in', 'Bali,', 'Indonesia.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Kumara Parvata, which rises to 5617 feet, is situated in Dakshina Kannada, Karnataka, India.  ","['Kumara', 'Parvata,', 'which', 'rises', 'to', '5617', 'feet,', 'is', 'situated', 'in', 'Dakshina', 'Kannada,', 'Karnataka,', 'India.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pushpagiri, also standing at 5617 feet, is located in Pushpagiri Wildlife Sanctuary, Karnataka, India.  ","['Pushpagiri,', 'also', 'standing', 'at', '5617', 'feet,', 'is', 'located', 'in', 'Pushpagiri', 'Wildlife', 'Sanctuary,', 'Karnataka,', 'India.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Lowe, with a height of 5600 feet, is found in the San Gabriel Mountains, California, US.  ","['Mount', 'Lowe,', 'with', 'a', 'height', 'of', '5600', 'feet,', 'is', 'found', 'in', 'the', 'San', 'Gabriel', 'Mountains,', 'California,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Boulder Peak, which reaches 5600 feet, is located in the Olympic Mountains, Washington, US.  ","['Boulder', 'Peak,', 'which', 'reaches', '5600', 'feet,', 'is', 'located', 'in', 'the', 'Olympic', 'Mountains,', 'Washington,', 'US.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Doi Luang, standing at 5558 feet, is the highest in the Phi Pan","['Doi', 'Luang,', 'standing', 'at', '5558', 'feet,', 'is', 'the', 'highest', 'in', 'the', 'Phi', 'Pan']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The highest point in Saint Lucia is Mount Gimie, which reaches an elevation of 950 meters.  ","['The', 'highest', 'point', 'in', 'Saint', 'Lucia', 'is', 'Mount', 'Gimie,', 'which', 'reaches', 'an', 'elevation', 'of', '950', 'meters.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In Trinidad and Tobago, El Cerro del Aripo stands as the highest peak at 940 meters.  ","['In', 'Trinidad', 'and', 'Tobago,', 'El', 'Cerro', 'del', 'Aripo', 'stands', 'as', 'the', 'highest', 'peak', 'at', '940', 'meters.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Another notable mountain in Trinidad and Tobago is El Tucuche, with a height of 936 meters.  ","['Another', 'notable', 'mountain', 'in', 'Trinidad', 'and', 'Tobago', 'is', 'El', 'Tucuche,', 'with', 'a', 'height', 'of', '936', 'meters.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
"Rising to 934 meters, Lantau Peak is one of the prominent mountains in Hong Kong.  ","['Rising', 'to', '934', 'meters,', 'Lantau', 'Peak', 'is', 'one', 'of', 'the', 'prominent', 'mountains', 'in', 'Hong', 'Kong.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Betlingchhip, the highest point in Tripura, India, reaches 930 meters.  ","['Betlingchhip,', 'the', 'highest', 'point', 'in', 'Tripura,', 'India,', 'reaches', '930', 'meters.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Kaimondake volcano, located in Kagoshima, Japan, has an elevation of 924 meters.  ","['The', 'Kaimondake', 'volcano,', 'located', 'in', 'Kagoshima,', 'Japan,', 'has', 'an', 'elevation', 'of', '924', 'meters.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In Ticino, Switzerland, San Salvatore boasts a height of 912 meters.  ","['In', 'Ticino,', 'Switzerland,', 'San', 'Salvatore', 'boasts', 'a', 'height', 'of', '912', 'meters.']","['O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
"On the island of Corfu, Greece, Pantokrator reaches 906 meters.  ","['On', 'the', 'island', 'of', 'Corfu,', 'Greece,', 'Pantokrator', 'reaches', '906', 'meters.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O']"
"Edinburgh Peak, situated on Tristan da Cunha in the UK, stands at 904 meters.  ","['Edinburgh', 'Peak,', 'situated', 'on', 'Tristan', 'da', 'Cunha', 'in', 'the', 'UK,', 'stands', 'at', '904', 'meters.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Cadair Idris, a well-known mountain in Wales, has an elevation of 893 meters.  ","['Cadair', 'Idris,', 'a', 'well-known', 'mountain', 'in', 'Wales,', 'has', 'an', 'elevation', 'of', '893', 'meters.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pen y Fan, also in Wales, reaches 886 meters in height.  ","['Pen', 'y', 'Fan,', 'also', 'in', 'Wales,', 'reaches', '886', 'meters', 'in', 'height.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Baekunsan in Ulsan, South Korea, has an elevation of 885 meters.  ","['Baekunsan', 'in', 'Ulsan,', 'South', 'Korea,', 'has', 'an', 'elevation', 'of', '885', 'meters.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mount Gerizim in the West Bank reaches 881 meters.  ,"['Mount', 'Gerizim', 'in', 'the', 'West', 'Bank', 'reaches', '881', 'meters.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Sunset Peak, located in Hong Kong, stands at 869 meters.  ","['Sunset', 'Peak,', 'located', 'in', 'Hong', 'Kong,', 'stands', 'at', '869', 'meters.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In the Thane District of Maharashtra, India, Mahuli rises to 858 meters.  ","['In', 'the', 'Thane', 'District', 'of', 'Maharashtra,', 'India,', 'Mahuli', 'rises', 'to', '858', 'meters.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O']"
"Mount Taylor, which can be found in Canberra, Australia, has an elevation of 856 meters.  ","['Mount', 'Taylor,', 'which', 'can', 'be', 'found', 'in', 'Canberra,', 'Australia,', 'has', 'an', 'elevation', 'of', '856', 'meters.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Mourne Mountains in County Down, Northern Ireland, are home to Slieve Donard, which reaches 856 meters.  ","['The', 'Mourne', 'Mountains', 'in', 'County', 'Down,', 'Northern', 'Ireland,', 'are', 'home', 'to', 'Slieve', 'Donard,', 'which', 'reaches', '856', 'meters.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']"
"Tinakula, situated in the Solomon Islands, stands at 851 meters.  ","['Tinakula,', 'situated', 'in', 'the', 'Solomon', 'Islands,', 'stands', 'at', '851', 'meters.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Here are the sentences without numbering:,"['Here', 'are', 'the', 'sentences', 'without', 'numbering:']","['O', 'O', 'O', 'O', 'O', 'O']"
"Les Trois Mamelles is a breathtaking sight in Mauritius, rising to a height of 666 meters.","['Les', 'Trois', 'Mamelles', 'is', 'a', 'breathtaking', 'sight', 'in', 'Mauritius,', 'rising', 'to', 'a', 'height', 'of', '666', 'meters.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Steling mountain, located in the High Fens of Belgium, stands at 658 meters, offering stunning views of the surrounding landscape.","['The', 'Steling', 'mountain,', 'located', 'in', 'the', 'High', 'Fens', 'of', 'Belgium,', 'stands', 'at', '658', 'meters,', 'offering', 'stunning', 'views', 'of', 'the', 'surrounding', 'landscape.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Maple Mountain in Ontario, Canada, reaches 642 meters and is a popular hiking destination in the area.","['Maple', 'Mountain', 'in', 'Ontario,', 'Canada,', 'reaches', '642', 'meters', 'and', 'is', 'a', 'popular', 'hiking', 'destination', 'in', 'the', 'area.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Rising to 638 meters, Mountain Lagrave (Montage Lagrave) in Mauritius is known for its scenic hiking trails.","['Rising', 'to', '638', 'meters,', 'Mountain', 'Lagrave', '(Montage', 'Lagrave)', 'in', 'Mauritius', 'is', 'known', 'for', 'its', 'scenic', 'hiking', 'trails.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Kinder Scout, the highest peak in the Peak District of England, towers at 636 meters and is a favorite among outdoor enthusiasts.","['Kinder', 'Scout,', 'the', 'highest', 'peak', 'in', 'the', 'Peak', 'District', 'of', 'England,', 'towers', 'at', '636', 'meters', 'and', 'is', 'a', 'favorite', 'among', 'outdoor', 'enthusiasts.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Masaya Volcano in Nicaragua, reaching 635 meters, is an active volcano that attracts many tourists.","['The', 'Masaya', 'Volcano', 'in', 'Nicaragua,', 'reaching', '635', 'meters,', 'is', 'an', 'active', 'volcano', 'that', 'attracts', 'many', 'tourists.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Calebasses Mountain (Montagne Calebasses) is another beautiful spot in Mauritius, standing at 632 meters. ","['Calebasses', 'Mountain', '(Montagne', 'Calebasses)', 'is', 'another', 'beautiful', 'spot', 'in', 'Mauritius,', 'standing', 'at', '632', 'meters.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount D'Urville, located in the Auckland Islands of New Zealand, rises to 630 meters and is surrounded by stunning ocean views.","['Mount', ""D'Urville,"", 'located', 'in', 'the', 'Auckland', 'Islands', 'of', 'New', 'Zealand,', 'rises', 'to', '630', 'meters', 'and', 'is', 'surrounded', 'by', 'stunning', 'ocean', 'views.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Moel Eilio in Snowdonia, Wales, reaches a height of 629 meters and offers breathtaking vistas of the national park.","['Moel', 'Eilio', 'in', 'Snowdonia,', 'Wales,', 'reaches', 'a', 'height', 'of', '629', 'meters', 'and', 'offers', 'breathtaking', 'vistas', 'of', 'the', 'national', 'park.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"High Willhays is the tallest mountain in Dartmoor, England, standing at 621 meters and providing excellent walking trails.","['High', 'Willhays', 'is', 'the', 'tallest', 'mountain', 'in', 'Dartmoor,', 'England,', 'standing', 'at', '621', 'meters', 'and', 'providing', 'excellent', 'walking', 'trails.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Snaefell, with a height of 621 meters, is the highest peak on the Isle of Man, offering panoramic views of the island.","['Snaefell,', 'with', 'a', 'height', 'of', '621', 'meters,', 'is', 'the', 'highest', 'peak', 'on', 'the', 'Isle', 'of', 'Man,', 'offering', 'panoramic', 'views', 'of', 'the', 'island.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Beinn Mhòr, located in South Uist, United Kingdom, rises to 620 meters and is a popular hiking destination.","['Beinn', 'Mhòr,', 'located', 'in', 'South', 'Uist,', 'United', 'Kingdom,', 'rises', 'to', '620', 'meters', 'and', 'is', 'a', 'popular', 'hiking', 'destination.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Munsusan (Ulsan) in South Korea reaches 600 meters and is a great spot for those looking to enjoy nature.,"['Munsusan', '(Ulsan)', 'in', 'South', 'Korea', 'reaches', '600', 'meters', 'and', 'is', 'a', 'great', 'spot', 'for', 'those', 'looking', 'to', 'enjoy', 'nature.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Takao in Tokyo, Japan, stands at 599 meters and is famous for its scenic hiking paths.","['Mount', 'Takao', 'in', 'Tokyo,', 'Japan,', 'stands', 'at', '599', 'meters', 'and', 'is', 'famous', 'for', 'its', 'scenic', 'hiking', 'paths.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Piton de Fouge in Mauritius, reaching 596 meters, is known for its lush greenery and tranquil environment.","['Piton', 'de', 'Fouge', 'in', 'Mauritius,', 'reaching', '596', 'meters,', 'is', 'known', 'for', 'its', 'lush', 'greenery', 'and', 'tranquil', 'environment.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Sikjangsan in Daejeon, South Korea, also stands at 596 meters, attracting hikers year-round.","['Sikjangsan', 'in', 'Daejeon,', 'South', 'Korea,', 'also', 'stands', 'at', '596', 'meters,', 'attracting', 'hikers', 'year-round.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Forbordsfjellet in Nord-Trøndelag, Norway, rises to 590 meters, providing stunning views of the fjords.","['Forbordsfjellet', 'in', 'Nord-Trøndelag,', 'Norway,', 'rises', 'to', '590', 'meters,', 'providing', 'stunning', 'views', 'of', 'the', 'fjords.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Piton du Millieu in Mauritius, with a height of 589 meters, is surrounded by rich biodiversity.","['Piton', 'du', 'Millieu', 'in', 'Mauritius,', 'with', 'a', 'height', 'of', '589', 'meters,', 'is', 'surrounded', 'by', 'rich', 'biodiversity.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Gwanggyosan in Gyeonggi Province, South Korea, stands at 582 meters and is a popular spot for locals.","['Gwanggyosan', 'in', 'Gyeonggi', 'Province,', 'South', 'Korea,', 'stands', 'at', '582', 'meters', 'and', 'is', 'a', 'popular', 'spot', 'for', 'locals.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Pond, located in the South Shetland Islands, reaches 576 meters and is a remote and beautiful location.","['Mount', 'Pond,', 'located', 'in', 'the', 'South', 'Shetland', 'Islands,', 'reaches', '576', 'meters', 'and', 'is', 'a', 'remote', 'and', 'beautiful', 'location.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Tabor in Galilee, Israel, at 575 meters, is steeped in historical significance and natural beauty.","['Mount', 'Tabor', 'in', 'Galilee,', 'Israel,', 'at', '575', 'meters,', 'is', 'steeped', 'in', 'historical', 'significance', 'and', 'natural', 'beauty.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Monte Conero in Ancona, Italy, rises to 572 meters and offers stunning views of the Adriatic Sea.","['Monte', 'Conero', 'in', 'Ancona,', 'Italy,', 'rises', 'to', '572', 'meters', 'and', 'offers', 'stunning', 'views', 'of', 'the', 'Adriatic', 'Sea.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Gyeryongsan in South Gyeongsang Province, South Korea, reaches 566 meters and is a favorite among hikers.","['Gyeryongsan', 'in', 'South', 'Gyeongsang', 'Province,', 'South', 'Korea,', 'reaches', '566', 'meters', 'and', 'is', 'a', 'favorite', 'among', 'hikers.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Mount Honey in Campbell Islands, New Zealand, stands at 558 meters and is known for its wildlife.","['Mount', 'Honey', 'in', 'Campbell', 'Islands,', 'New', 'Zealand,', 'stands', 'at', '558', 'meters', 'and', 'is', 'known', 'for', 'its', 'wildlife.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Le Morne Brabant in Mauritius, at 555 meters, is recognized for its cultural significance and beautiful landscapes.","['Le', 'Morne', 'Brabant', 'in', 'Mauritius,', 'at', '555', 'meters,', 'is', 'recognized', 'for', 'its', 'cultural', 'significance', 'and', 'beautiful', 'landscapes.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Tourelle du Tamarin, standing at 548 meters in Mauritius, offers great opportunities for hiking and exploration.","['Tourelle', 'du', 'Tamarin,', 'standing', 'at', '548', 'meters', 'in', 'Mauritius,', 'offers', 'great', 'opportunities', 'for', 'hiking', 'and', 'exploration.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Rempart Mountain (Montagne du Rempart) in Mauritius, reaching 545 meters, is renowned for its picturesque views.","['Rempart', 'Mountain', '(Montagne', 'du', 'Rempart)', 'in', 'Mauritius,', 'reaching', '545', 'meters,', 'is', 'renowned', 'for', 'its', 'picturesque', 'views.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Palasip Qaqqaa (Præstefjeldet) in Greenland rises to 544 meters, providing a serene hiking experience.","['Palasip', 'Qaqqaa', '(Præstefjeldet)', 'in', 'Greenland', 'rises', 'to', '544', 'meters,', 'providing', 'a', 'serene', 'hiking', 'experience.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Namamsan in Ulsan, South Korea, stands at 543 meters and is a popular spot for both locals and tourists.","['Namamsan', 'in', 'Ulsan,', 'South', 'Korea,', 'stands', 'at', '543', 'meters', 'and', 'is', 'a', 'popular', 'spot', 'for', 'both', 'locals', 'and', 'tourists.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Taum Sauk Mountain in Missouri, USA, reaches a height of 540 meters and is known for its beautiful scenery.","['Taum', 'Sauk', 'Mountain', 'in', 'Missouri,', 'USA,', 'reaches', 'a', 'height', 'of', '540', 'meters', 'and', 'is', 'known', 'for', 'its', 'beautiful', 'scenery.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
